Prompt,"### Instruction

List public databases that contain ATAC-seq data from human Type 2 Diabetes (T2D) samples.

### Constraints

* Include only databases/repositories (NOT individual datasets)
* Only ATAC-seq (exclude RNA-seq, ChIP-seq, etc.)
* Must be publicly accessible
* Human data only
* Avoid generic databases unless T2D ATAC-seq is clearly supported

### Output Format

| Database Name | URL | Description | Evidence of T2D relevance |
",,
Constraints,Include only databases/repositories; Only ATAC-seq; Publicly accessible; Human data; Avoid generic databases unless T2D ATAC-seq is clearly supported.,,
,,,
Database Name,URL,Description,Evidence of T2D relevance
NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/,Primary public repository for high-throughput sequencing data including ATAC-seq,"Hosts multiple T2D ATAC-seq datasets (e.g., GSE137889 - ATAC-seq from T2D and non-diabetic human pancreatic islets; scATAC-seq from human islets with T2D regulatory signatures)"
NCBI Sequence Read Archive (SRA),https://www.ncbi.nlm.nih.gov/sra,Raw sequencing data repository,"Contains T2D ATAC-seq submissions (e.g., PRJNA822928 - single-cell multiome ATAC/RNA from 20 individuals including T2D donors; PRJNA1091960 - ATAC-seq for T2D effector gene identification)"
Common Metabolic Diseases Genome Atlas (CMDGA),https://cmdga.org/,Specialized atlas for metabolic disease functional genomics,Dedicated T2D resource with 7 ATAC-seq assays from human islets; includes single-cell ATAC-seq data revealing T2D regulatory signatures; linked to Diabetes Epigenome Atlas
Type 2 Diabetes Knowledge Portal,https://www.type2diabetesgenetics.org/,Comprehensive T2D genetics resource,Integrates epigenomic data including ATAC-seq from human pancreatic islets; connected to CMDGA and Diabetes Epigenome Atlas for T2D variant interpretation
European Nucleotide Archive (ENA),https://www.ebi.ac.uk/ena/,European mirror for sequencing data,Accepts/hosts ATAC-seq submissions from T2D studies; data synchronized with NCBI SRA
dbGaP (database of Genotypes and Phenotypes),https://www.ncbi.nlm.nih.gov/gap/,Controlled-access repository for human genotype-phenotype data,"Contains T2D-related studies with ATAC-seq data requiring approved access (e.g., T2D-GENES consortium studies)"
,,,
Prompt,"### Instruction

List databases that provide ATAC-seq data from Type 2 Diabetes (T2D) human samples.

### Example

Database Name: GEO
URL: https://www.ncbi.nlm.nih.gov/geo/
Description: Public functional genomics repository
Evidence of T2D relevance: Contains T2D ATAC-seq studies submitted by researchers

### Task

Now list 5–8 more databases in the exact same format.
",,
,,,
Database Name,URL,Description,Evidence of T2D relevance
SRA (Sequence Read Archive),https://www.ncbi.nlm.nih.gov/sra,NIH raw sequencing data repository,Hosts T2D ATAC-seq datasets including PRJNA822928 (single-cell multiome from T2D donors) and PRJNA1091960 (ATAC-seq for T2D effector genes)
Common Metabolic Diseases Genome Atlas (CMDGA),https://cmdga.org/,Specialized atlas for metabolic disease functional genomics,Contains 7 ATAC-seq assays from human pancreatic islets with T2D-specific regulatory signatures
Type 2 Diabetes Knowledge Portal,https://www.type2diabetesgenetics.org/,Comprehensive T2D genetics and epigenomics resource,Integrates ATAC-seq data from human islets to interpret T2D-associated genetic variants
European Nucleotide Archive (ENA),https://www.ebi.ac.uk/ena/,European nucleotide sequence data repository,Mirrors T2D ATAC-seq submissions synchronized with NCBI SRA
dbGaP (database of Genotypes and Phenotypes),https://www.ncbi.nlm.nih.gov/gap/,Controlled-access repository for human genotype-phenotype data,"Contains T2D ATAC-seq studies requiring controlled access (e.g., T2D-GENES consortium)"
BioProject,https://www.ncbi.nlm.nih.gov/bioproject/,NCBI database linking research projects to biological data,"Indexes T2D ATAC-seq projects with links to SRA/GEO data (e.g., PRJNA822928, PRJNA1091960)"
Diabetes Epigenome Atlas,https://epigenome.diabetes.ucsd.edu/,Specialized epigenomics resource for diabetes research,Provides ATAC-seq and chromatin accessibility data from human pancreatic islets for T2D variant interpretation
,,,
Prompt,"### Role

You are a bioinformatics expert specializing in epigenomics databases.

### Task

Identify databases that provide ATAC-seq data from:

* Human pancreatic islets
* Human beta cells
* Type 2 Diabetes (T2D) donors

### Requirements

* Include only real, well-established databases
* Exclude irrelevant or uncertain resources

### Output

* Name:
* URL:
* Sample Type:
* Access Method (API / FTP / download):
",,
,,,
Name,URL,Sample Type,Access Method (API / FTP / download)
PanKbase,https://data.pankbase.org/,"Human pancreatic islets (snATAC-seq: 97,659 cells, 41 donors; includes T2D donors)",API / download
Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/,"Human pancreatic islets, beta cells; T2D and non-diabetic donors",API / FTP / download
Sequence Read Archive (SRA),https://www.ncbi.nlm.nih.gov/sra,"Human pancreatic islets; T2D donors (e.g., PRJNA822928, PRJNA1091960)",API / FTP / download
Common Metabolic Diseases Genome Atlas (CMDGA),https://cmdga.org/,Human pancreatic islets; T2D-related ATAC-seq assays,Web browser / download
Type 2 Diabetes Knowledge Portal,https://www.type2diabetesgenetics.org/,Human pancreatic islets; integrated ATAC-seq for T2D variant interpretation,Web browser / API
European Nucleotide Archive (ENA),https://www.ebi.ac.uk/ena/,Human pancreatic islets; T2D ATAC-seq (mirrors SRA submissions),API / FTP / download
dbGaP,https://www.ncbi.nlm.nih.gov/gap/,Human pancreatic islets; T2D ATAC-seq (controlled access),Download (requires authorization)
,,,
Prompt,"### Instruction

Find databases with ATAC-seq data for Type 2 Diabetes (T2D).

### Steps

1. Identify known genomics databases
2. Check if ATAC-seq is supported
3. Verify presence of T2D human samples
4. Remove irrelevant databases

### Output Format

| Database | ATAC-seq Support | T2D Evidence | Access Type |
",,
,,,
Database,ATAC-seq Support,T2D Evidence,Access Type
PanKbase,"Yes - dedicated snATAC-seq dataset (97,659 cells, 41 donors)",Human pancreatic islets from T2D and non-diabetic donors,API / download
GEO,Yes - accepts ATAC-seq submissions,GSE137889 (T2D vs non-diabetic islets); scATAC-seq with T2D signatures,API / FTP / download
SRA,Yes - raw ATAC-seq data storage,PRJNA822928 (multiome from T2D donors); PRJNA1091960 (T2D effector genes),API / FTP / download
CMDGA,Yes - 7 ATAC-seq assays indexed,Single-cell ATAC-seq from human islets revealing T2D regulatory signatures,Web / download
T2D Knowledge Portal,Yes - integrates ATAC-seq from islets,ATAC-seq used to interpret T2D GWAS variants in pancreatic islets,Web / API
ENA,Yes - mirrors SRA ATAC-seq,Synchronized T2D ATAC-seq submissions from SRA,API / FTP / download
dbGaP,Yes - accepts ATAC-seq studies,T2D-GENES consortium studies with controlled-access ATAC-seq,Download (authorized)
BioProject,Yes - links to ATAC-seq projects,Indexes T2D ATAC-seq projects with SRA/GEO links,Web / API
,,,
Prompt,"### Context

Known databases: GEO, ENCODE, ATACdb, Cistrome, ArrayExpress

### Task

List additional databases NOT in the list above that contain ATAC-seq data from Type 2 Diabetes (T2D) human samples.

### Constraints

* Must be real and publicly accessible
* Must contain ATAC-seq data
* Must have clear T2D relevance

### Output

Name:
URL:
What makes it unique:
",,
,,,
Name,URL,What makes it unique,
PanKbase,https://data.pankbase.org/,"Dedicated pancreatic islet database with 97,659 snATAC-seq cells from 41 donors including T2D; provides cell type-specific ATAC peaks and integrated donor metadata",
Common Metabolic Diseases Genome Atlas (CMDGA),https://cmdga.org/,Specialized for metabolic diseases with curated ATAC-seq from human islets; includes single-cell browser and T2D-specific regulatory signatures,
Type 2 Diabetes Knowledge Portal,https://www.type2diabetesgenetics.org/,T2D-focused portal integrating ATAC-seq with GWAS variants; connects chromatin accessibility to disease genetics,
Sequence Read Archive (SRA),https://www.ncbi.nlm.nih.gov/sra/,"Primary raw sequencing repository with multiple T2D ATAC-seq projects (PRJNA822928, PRJNA1091960); comprehensive submission archive",
European Nucleotide Archive (ENA),https://www.ebi.ac.uk/ena/,European mirror synchronized with SRA; provides alternative access point for T2D ATAC-seq raw data,
dbGaP,https://www.ncbi.nlm.nih.gov/gap/,Controlled-access repository for human T2D ATAC-seq with detailed phenotype data; hosts consortium studies like T2D-GENES,
