Prompt,"### Task

List public databases that host ATAC-seq data from human samples with Type 2 Diabetes (T2D).

### Output Format

| Database Name | URL | ATAC-seq Availability | Notes |

### Constraints

* Disease must be Type 2 Diabetes (T2D) only
* ATAC-seq only (exclude RNA-seq, ChIP-seq, etc.)
* Include only databases/repositories (not individual datasets)
* Publicly accessible resources only
* Minimum 5, maximum 10 entries",,,
Constraints,"Disease must be Type 2 Diabetes (T2D) only; ATAC-seq only; Include only databases/repositories; Publicly accessible resources only; Minimum 5, maximum 10 entries",,,
,,,,
Database Name,URL,ATAC-seq Availability,Notes,
NCBI GEO,https://www.ncbi.nlm.nih.gov/geo/,"✅ Yes — bulk and scATAC-seq datasets (e.g., GSE194401)","Primary repository for functional genomics. Search ""ATAC-seq"" AND ""Type 2 Diabetes"" AND ""Homo sapiens"". Open access.",
NCBI SRA,https://www.ncbi.nlm.nih.gov/sra/,✅ Yes — raw FASTQ/BAM files for ATAC-seq runs,"Complements GEO; hosts the raw sequencing data underlying GEO series. Search ATAC-seq[Strategy] AND ""type 2 diabetes"". Open access.",
European Genome-Phenome Archive (EGA),https://ega-archive.org/,✅ Yes — controlled-access ATAC-seq from clinical cohorts,Major host for human islet ATAC-seq from T2D donor studies. Managed access via Data Access Committee (DAC) application required.,
ENCODE Project,https://www.encodeproject.org/,✅ Yes — standardized ATAC-seq across human tissues/cell lines,Contains pancreatic islet and metabolically relevant tissue ATAC-seq. Gold-standard processing pipelines. Open access.,
ATACdb,http://www.licpathway.net/ATACdb/,✅ Yes — curated ATAC-seq atlas with disease annotations,"Aggregates >4,000 human ATAC-seq samples from GEO/SRA. Includes T2D-relevant risk SNP and GWAS variant annotations overlaid on chromatin accessibility regions. Open access.",
CMDGA,https://cmdga.org/,✅ Yes — metabolic disease-focused epigenomic data including ATAC-seq,"Specialized for T2D and metabolic traits; integrates ATAC-seq with GWAS, eQTL, and chromatin state data. Open access.",
Diabetes Genome Atlas / T2D Knowledge Portal,https://t2d.hugeamp.org/,✅ Yes — ATAC-seq annotations integrated with T2D genetic data,"AMP T2D consortium portal. Includes islet ATAC-seq tracks, chromatin state annotations, and open chromatin data for variant-to-function mapping. Open access.",
Islet Regulome Browser,https://www.isletregulome.com/,✅ Yes — pancreatic islet-specific ATAC-seq & open chromatin maps,"Specialized browser for human islet regulatory landscapes. Integrates ATAC-seq with enhancer maps, TF binding, and T2D GWAS signals. Open access.",
,,,,
Prompt,"### Task

List public databases containing ATAC-seq data from human pancreatic islets or beta cells in Type 2 Diabetes (T2D).

### Output Format

Database Name:
URL:
Sample Type: Islets / Beta cells / Both
Access: API / FTP / Direct download
Notes:",,,
,,,,
Database Name,URL,Sample Type,Access,Notes
NCBI GEO,https://www.ncbi.nlm.nih.gov/geo/,Both (Islets & Beta cells),Direct download / FTP,Primary public repository. Contains bulk and scATAC-seq from T2D and non-diabetic human islet donors.
NCBI SRA,https://www.ncbi.nlm.nih.gov/sra/,Both (Islets & Beta cells),Direct download / FTP / SRA Toolkit,Hosts raw FASTQ/BAM files underlying GEO series. Provides run-level metadata.
EGA,https://ega-archive.org/,Islets (primary),Managed access (DAC) / pyEGA3,Hosts controlled-access ATAC-seq from clinical T2D islet cohorts. Major source for European consortium studies.
PANC-DB (HPAP Data Portal),https://hpap.pmacs.upenn.edu/,Both (Islets & Beta cells),Direct download / SFTP scripts,Central consortium portal for multi-omic human pancreas data. Hosts bulk ATAC-seq and snATAC-seq from 40+ donors.
PanKbase,https://pankbase.org/,Both (Islets & Beta cells),API / Direct download,Integrates HPAP snATAC-seq data from 41 donors with interactive cell browser and chromatin accessibility maps.
Gaulton Lab Islet Genomics,https://gaultonlab.org/,Both (Islets & Beta cells),Direct download / Cellxgene / UCSC,Hosts the HPAP Islet Chromatin Accessibility Map with processed snATAC-seq data. Provides interactive tools.
CZ CELLxGENE Discover,https://cellxgene.cziscience.com/,Both (Islets & Beta cells),Direct download / API (Census),Hosts curated single-cell datasets including pancreatic islet scATAC-seq. Census API enables programmatic queries.
Islet Regulome Browser,https://www.isletregulome.com/,Islets (primary),Direct download / R package,Specialized visualization tool for human islet regulatory genomics. Integrates ATAC-seq with enhancer annotations.
T2D Knowledge Portal,https://t2d.hugeamp.org/,Islets (primary),Direct download / API (REST),AMP T2D consortium portal integrating islet ATAC-seq chromatin state annotations with T2D GWAS summary statistics.
CMDGA,https://cmdga.org/,Islets (primary),Direct download,"Metabolic disease-focused atlas integrating ATAC-seq with GWAS, eQTL, and chromatin state data for T2D-relevant tissues."
,,,,
Prompt,"### Task

Identify databases that provide programmatic access (API/FTP) to ATAC-seq data from Type 2 Diabetes (T2D) human samples.

### Output Format

| Database | API/FTP Available | Access Type | URL |",,,
,,,,
Database,API/FTP Available,Access Type,URL,
NCBI GEO,✅ API (E-utilities) + FTP,Open,https://www.ncbi.nlm.nih.gov/geo/,
NCBI SRA,✅ API (E-utilities) + FTP + Cloud,Open,https://www.ncbi.nlm.nih.gov/sra/,
EGA,✅ API (pyEGA3 + REST + htsget),Managed (DAC),https://ega-archive.org/,
ENCODE,✅ REST API + FTP,Open,https://www.encodeproject.org/,
PanKbase,✅ REST API + PanKgraph API,Open,https://pankbase.org/,
CZ CELLxGENE,✅ Census Python/R SDK + REST API,Open,https://cellxgene.cziscience.com/,
T2D Knowledge Portal,✅ REST API,Open,https://t2d.hugeamp.org/,
PANC-DB (HPAP),✅ SFTP (batch scripts),Open (registration),https://hpap.pmacs.upenn.edu/,
,,,,
Prompt,"### Context

Here is a list of databases with ATAC-seq data from Type 2 Diabetes (T2D)...

### Task

Score each database (1–3 scale):
1. Data quality (QC/standardization)
2. Accessibility (API/FTP availability)
3. T2D annotation clarity (clear disease labeling)

### Output Format

| Database | Quality | Accessibility | T2D Clarity | Total |",,,
Constraints,Sort by Total (highest first),,,
,,,,
Database,Quality,Accessibility,T2D Clarity,Total
PanKbase,3,3,3,9
CZ CELLxGENE Discover,3,3,2,8
PANC-DB / HPAP,3,2,3,8
ENCODE,3,3,1,7
NCBI GEO,2,3,2,7
Gaulton Lab Islet Genomics,3,2,2,7
EGA,2,2,3,7
T2D Knowledge Portal,2,2,3,7
ATACdb,3,1,2,6
Islet Regulome Browser,2,2,2,6
CMDGA,2,1,3,6
NCBI SRA,1,3,1,5
,,,,
Prompt,"### Context

Known databases: GEO, ENCODE, Cistrome, ATACdb, ChIP-Atlas, Roadmap Epigenomics, ArrayExpress, IHEC

### Task

List any additional public databases NOT in the list above that contain ATAC-seq data from Type 2 Diabetes (T2D) human samples.

### Output Format

Name:
URL:
What makes it unique:",,,
,,,,
Name,URL,What makes it unique,,
NCBI SRA,https://www.ncbi.nlm.nih.gov/sra/,Raw sequencing archive underlying GEO. Provides run-level FASTQ/BAM files with cloud-native access.,,
EGA,https://ega-archive.org/,The primary archive for controlled-access human clinical genomics data in Europe. Managed access.,,
PANC-DB (HPAP),https://hpap.pmacs.upenn.edu/,NIDDK-funded consortium portal with matched multi-omic data from human pancreas donors.,,
PanKbase,https://pankbase.org/,"Fully API-driven pancreas single-cell knowledge base, offering complex graph queries.",,
Gaulton Lab Islet Genomics,https://gaultonlab.org/,Lab-curated analysis portal specifically for HPAP islet snATAC-seq with interactive UI.,,
CZ CELLxGENE Discover,https://cellxgene.cziscience.com/,Standardized single-cell data platform with cross-dataset Census Python/R SDK queries.,,
Islet Regulome Browser,https://www.isletregulome.com/,Purpose-built genome browser for human pancreatic islet regulatory elements.,,
T2D Knowledge Portal,https://t2d.hugeamp.org/,Central portal for variant-to-function mapping integrating ATAC-seq with GWAS.,,
CMDGA,https://cmdga.org/,Specialized atlas for metabolic disease genomics with specific T2D features.,,
TIGER,http://tiger.bsc.es/,Integrates islet ATAC-seq with genotype data and expression QTLs.,,
UCSC Cell Browser,https://pancreas-diabetes.cells.ucsc.edu/,Interactive single-cell browser dedicated to pancreas and diabetes trajectory profiling.,,
Broad Single Cell Portal,https://singlecell.broadinstitute.org/single_cell,Terra/FireCloud integration enables launching cloud-based workflows directly.,,
